id,name,country,rank,base_url,status,catalogue_url,detail
8460,University of Leeds,United Kingdom,86,http://www.leeds.ac.uk,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
6512,University of Oslo,Norway,119,http://www.uio.no,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
7534,King Saud University,Saudi Arabia,143,http://www.ksu.edu.sa,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
2638,University of Science and Technology of China,China,132,http://www.ustc.edu.cn,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
802,Rice University,United States,119,http://www.rice.edu,ok,https://www.rice.edu/academics,
10287,University of Vienna,Austria,152,,no-website,,no domain or web field in our dataset
10288,Universiti Teknologi Malaysia (UTM),Malaysia,153,,no-website,,no domain or web field in our dataset
10289,Wageningen University & Research,Netherlands,153,,no-website,,no domain or web field in our dataset
8477,Newcastle University,United Kingdom,137,https://www.ncl.ac.uk,ok,https://www.ncl.ac.uk/study/,
1129,University of Southern California,United States,146,http://www.usc.edu,ok,https://www.usc.edu/academic-calendar/,
3148,University of Helsinki,Finland,116,http://www.helsinki.fi,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
6310,Erasmus University Rotterdam,Netherlands,140,http://www.eur.nl,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
3176,Aalto University,Finland,114,https://www.aalto.fi,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
1512,Australian National University,Australia,32,http://www.anu.edu.au,ok,https://study.anu.edu.au/study-options,
3664,Technische Universität Berlin,Germany,145,http://www.tu-berlin.de,ok,https://www.tu.berlin/,
10290,Ghent University,Belgium,162,,no-website,,no domain or web field in our dataset
10291,King Abdul Aziz University (KAU),Saudi Arabia,163,,no-website,,no domain or web field in our dataset
3752,Lancaster University,Ghana,157,https://lancaster.edu.gh,robots-disallowed,,robots.txt disallows every candidate path
9928,University of Barcelona,Spain,160,https://web.ub.edu,blocked-403,,homepage refuses automated access
9933,University of Bath,United Kingdom,132,https://bath.ac.uk,ok,https://www.bath.ac.uk/courses,
10292,Washington University in St. Louis,United States,167,,no-website,,no domain or web field in our dataset
10293,University of Montreal,Canada,168,,no-website,,no domain or web field in our dataset
1631,Western University,Azerbaijan,151,http://www.wu.edu.az,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
8546,University of York,United Kingdom,169,http://www.york.ac.uk,robots-disallowed,,robots.txt disallows every candidate path
642,Michigan State University,United States,161,http://www.msu.edu,ok,https://www.msu.edu/academics/programs,
5750,Sungkyunkwan University,South Korea,126,http://www.skku.edu,timeout,,homepage ERR:timeout
5339,Tohoku University,Japan,109,http://www.tohoku.ac.jp,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
6331,University of Groningen,Netherlands,147,http://www.rug.nl,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
7912,University of Geneva,Switzerland,155,http://www.unige.ch,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10294,National Tsing Hua University,Taiwan,176,,no-website,,no domain or web field in our dataset
10295,Khalifa University of Science and Technology,United Arab Emirates,177,,no-website,,no domain or web field in our dataset
7870,Stockholm University,Sweden,147,http://www.su.se,ok,https://www.su.se/study,
10296,"University of California, Santa Barbara (UCSB)",United States,179,,no-website,,no domain or web field in our dataset
10297,Indian Institute of Technology Madras (IITM),India,180,,no-website,,no domain or web field in our dataset
2097,Western University,Cambodia,151,http://www.western.edu.kh,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
5462,Al-Farabi Kazakh National University,Kazakhstan,166,http://www.kaznu.kz,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
187,Arizona State University,United States,173,http://www.asu.edu,robots-disallowed,,robots.txt disallows every candidate path
10298,University of Bern,Switzerland,184,,no-website,,no domain or web field in our dataset
7910,University of Basel,Switzerland,158,http://www.unibas.ch,ok,https://www.unibas.ch/en/Studies/Before-My-Studies/Degree-Programs.html,
8413,Cardiff University,United Kingdom,181,http://www.cardiff.ac.uk,blocked-403,,homepage refuses automated access
10299,Tecnológico de Monterrey (ITESM),Mexico,187,,no-website,,no domain or web field in our dataset
10300,University Complutense Madrid,Spain,187,,no-website,,no domain or web field in our dataset
8464,University of Liverpool,United Kingdom,147,http://www.liv.ac.uk,ok,https://www.liverpool.ac.uk/courses/undergraduate,
10301,Ohio State University,United States,190,,no-website,,no domain or web field in our dataset
10303,Université Catholique de Louvain (UCL),Belgium,191,,no-website,,no domain or web field in our dataset
10302,"Queen's University, Ontario",Canada,191,,no-website,,no domain or web field in our dataset
7669,University of Cape Town,South Africa,150,http://www.uct.ac.za,blocked-403,,403 on /programs
2516,Nanjing University,China,103,http://www.nju.edu.cn,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
5610,Hanyang University,South Korea,159,http://www.hanyang.ac.kr,robots-disallowed,,robots.txt disallows every candidate path
8429,University of Exeter,United Kingdom,155,http://www.ex.ac.uk,ok,https://www.exeter.ac.uk/study/,
10304,Vienna University of Technology,Austria,197,,no-website,,no domain or web field in our dataset
2161,McMaster University,Canada,173,http://www.mcmaster.ca,ok,https://www.mcmaster.ca/,
10305,Queen's University Belfast,United Kingdom,199,,no-website,,no domain or web field in our dataset
5408,Waseda University,Japan,196,http://www.waseda.ac.jp,unreachable,,homepage ERR:unreachable
10306,Universität Freiburg,Germany,201,,no-website,,no domain or web field in our dataset
10307,University of Gothenburg,Sweden,202,,no-website,,no domain or web field in our dataset
7840,Chalmers University of Technology,Sweden,165,http://www.chalmers.se,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10308,National Cheng Kung University (NCKU),Taiwan,203,,no-website,,no domain or web field in our dataset
6357,University of Otago,New Zealand,197,http://www.otago.ac.nz,blocked-403,,homepage refuses automated access
2645,Wuhan University,China,186,http://www.whu.edu.cn,robots-disallowed,,robots.txt disallows every candidate path
5154,Nagoya University,Japan,164,http://www.nagoya-u.ac.jp,ok,https://www.nagoya-u.ac.jp/academics/,
10309,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,207,,no-website,,no domain or web field in our dataset
3695,Universität Hamburg,Germany,193,http://www.uni-hamburg.de,ok,https://www.uni-hamburg.de/en/campuscenter/studienangebot.html,
10310,University of Minnesota (System),United States,210,,no-website,,no domain or web field in our dataset
6337,Eindhoven University of Technology,Netherlands,140,http://www.tue.nl,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
2241,University of Waterloo,Canada,119,http://www.uwaterloo.ca,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10312,University of Lausanne,Switzerland,212,,no-website,,no domain or web field in our dataset
10311,Universidad de Los Andes Colombia,Colombia,212,,no-website,,no domain or web field in our dataset
1521,Deakin University,Australia,207,http://www.deakin.edu.au,blocked-403,,homepage refuses automated access
10313,Eberhard Karls Universität Tübingen,Germany,215,,no-website,,no domain or web field in our dataset
